Created as New Dataset,Sample 004 By Administrator Date Thursday, March 26 2020
cm-1,%T
5740.75,61.81
5740.63,55.14
5740.50,50.67
5740.38,49.49
5740.25,51.22
5740.13,54.65
5740.00,58.62
5739.88,62.53
5739.75,66.22
5739.63,69.64
5739.50,72.75
5739.38,75.40
5739.25,77.46
5739.13,78.90
5739.00,79.84
5738.88,80.45
5738.75,80.84
5738.63,81.06
5738.50,81.18
5738.38,81.25
5738.25,81.31
5738.13,81.36
5738.00,81.44
5737.88,81.50
5737.75,81.53
5737.63,81.51
5737.50,81.49
5737.38,81.45
5737.25,81.33
5737.13,81.08
5737.00,80.52
5736.88,79.28
5736.75,76.93
5736.63,73.50
5736.50,69.83
5736.38,67.12
5736.25,66.18
5736.13,66.94
5736.00,68.70
5735.88,70.72
5735.75,72.64
5735.63,74.41
5735.50,76.07
5735.38,77.61
5735.25,78.96
5735.13,80.01
5735.00,80.73
5734.88,81.18
5734.75,81.43
5734.63,81.57
5734.50,81.62
5734.38,81.63
5734.25,81.62
5734.13,81.63
5734.00,81.66
5733.88,81.70
5733.75,81.74
5733.63,81.77
5733.50,81.81
5733.38,81.85
5733.25,81.89
5733.13,81.91
5733.00,81.90
5732.88,81.88
5732.75,81.84
5732.63,81.79
5732.50,81.75
5732.38,81.72
5732.25,81.68
5732.13,81.63
5732.00,81.57
5731.88,81.53
5731.75,81.50
5731.63,81.49
5731.50,81.48
5731.38,81.46
5731.25,81.45
5731.13,81.44
5731.00,81.43
5730.88,81.42
5730.75,81.40
5730.63,81.38
5730.50,81.36
5730.38,81.35
5730.25,81.33
5730.13,81.32
5730.00,81.32
5729.88,81.34
5729.75,81.38
5729.63,81.41
5729.50,81.42
5729.38,81.43
5729.25,81.46
5729.13,81.51
5729.00,81.56
5728.88,81.59
5728.75,81.60
5728.63,81.60
5728.50,81.60
5728.38,81.62
5728.25,81.63
5728.13,81.62
5728.00,81.61
5727.88,81.58
5727.75,81.53
5727.63,81.47
5727.50,81.40
5727.38,81.35
5727.25,81.33
5727.13,81.33
5727.00,81.31
5726.88,81.26
5726.75,81.18
5726.63,81.10
5726.50,81.05
5726.38,81.02
5726.25,80.98
5726.13,80.92
5726.00,80.81
5725.88,80.67
5725.75,80.50
5725.63,80.29
5725.50,79.95
5725.38,79.36
5725.25,78.23
5725.13,76.01
5725.00,72.00
5724.88,66.02
5724.75,58.97
5724.63,52.74
5724.50,49.16
5724.38,48.90
5724.25,51.27
5724.13,55.00
5724.00,59.09
5723.88,63.05
5723.75,66.77
5723.63,70.22
5723.50,73.30
5723.38,75.86
5723.25,77.77
5723.13,79.05
5723.00,79.90
5722.88,80.47
5722.75,80.84
5722.63,81.04
5722.50,81.12
5722.38,81.17
5722.25,81.24
5722.13,81.31
5722.00,81.38
5721.88,81.41
5721.75,81.40
5721.63,81.36
5721.50,81.33
5721.38,81.27
5721.25,81.12
5721.13,80.75
5721.00,79.89
5720.88,78.13
5720.75,75.23
5720.63,71.54
5720.50,68.15
5720.38,66.18
5720.25,66.07
5720.13,67.39
5720.00,69.37
5719.88,71.42
5719.75,73.32
5719.63,75.08
5719.50,76.72
5719.38,78.21
5719.25,79.45
5719.13,80.36
5719.00,80.91
5718.88,81.22
5718.75,81.39
5718.63,81.50
5718.50,81.58
5718.38,81.65
5718.25,81.70
5718.13,81.73
5718.00,81.76
5717.88,81.80
5717.75,81.85
5717.63,81.90
5717.50,81.94
5717.38,81.95
5717.25,81.93
5717.13,81.90
5717.00,81.88
5716.88,81.89
5716.75,81.92
5716.63,81.94
5716.50,81.92
5716.38,81.90
5716.25,81.89
5716.13,81.88
5716.00,81.89
5715.88,81.90
5715.75,81.89
5715.63,81.87
5715.50,81.86
5715.38,81.86
5715.25,81.86
5715.13,81.84
5715.00,81.83
5714.88,81.85
5714.75,81.90
5714.63,81.95
5714.50,81.99
5714.38,82.02
5714.25,82.03
5714.13,82.02
5714.00,81.99
5713.88,81.98
5713.75,81.98
5713.63,81.99
5713.50,82.01
5713.38,82.01
5713.25,81.99
5713.13,81.96
5713.00,81.93
5712.88,81.93
5712.75,81.92
5712.63,81.89
5712.50,81.85
5712.38,81.84
5712.25,81.86
5712.13,81.87
5712.00,81.86
5711.88,81.83
5711.75,81.80
5711.63,81.79
5711.50,81.81
5711.38,81.85
5711.25,81.88
5711.13,81.88
5711.00,81.87
5710.88,81.87
5710.75,81.89
5710.63,81.90
5710.50,81.89
5710.38,81.89
5710.25,81.91
5710.13,81.93
5710.00,81.95
5709.88,81.95
